"date_key";"full_date";"yr";"quarter_of_yr";"mon_of_yr";"month_name";"day_of_year";"week_of_year";"is_weekend";"day_of_week";"day_name";"month_year";"yr_month"
20190102;"2019-01-02";2019;"Q4";1;"January";2;0;0;4;"Wednesday";"Jan-2019";"2019-01"
20190103;"2019-01-03";2019;"Q4";1;"January";3;0;0;5;"Thursday";"Jan-2019";"2019-01"
20190104;"2019-01-04";2019;"Q4";1;"January";4;0;0;6;"Friday";"Jan-2019";"2019-01"
20190105;"2019-01-05";2019;"Q4";1;"January";5;0;1;7;"Saturday";"Jan-2019";"2019-01"
20190106;"2019-01-06";2019;"Q4";1;"January";6;1;1;1;"Sunday";"Jan-2019";"2019-01"
20190107;"2019-01-07";2019;"Q4";1;"January";7;1;0;2;"Monday";"Jan-2019";"2019-01"
20190108;"2019-01-08";2019;"Q4";1;"January";8;1;0;3;"Tuesday";"Jan-2019";"2019-01"
20190109;"2019-01-09";2019;"Q4";1;"January";9;1;0;4;"Wednesday";"Jan-2019";"2019-01"
20190110;"2019-01-10";2019;"Q4";1;"January";10;1;0;5;"Thursday";"Jan-2019";"2019-01"
20190111;"2019-01-11";2019;"Q4";1;"January";11;1;0;6;"Friday";"Jan-2019";"2019-01"
20190112;"2019-01-12";2019;"Q4";1;"January";12;1;1;7;"Saturday";"Jan-2019";"2019-01"
20190113;"2019-01-13";2019;"Q4";1;"January";13;2;1;1;"Sunday";"Jan-2019";"2019-01"
20190114;"2019-01-14";2019;"Q4";1;"January";14;2;0;2;"Monday";"Jan-2019";"2019-01"
20190115;"2019-01-15";2019;"Q4";1;"January";15;2;0;3;"Tuesday";"Jan-2019";"2019-01"
20190116;"2019-01-16";2019;"Q4";1;"January";16;2;0;4;"Wednesday";"Jan-2019";"2019-01"
20190117;"2019-01-17";2019;"Q4";1;"January";17;2;0;5;"Thursday";"Jan-2019";"2019-01"
20190118;"2019-01-18";2019;"Q4";1;"January";18;2;0;6;"Friday";"Jan-2019";"2019-01"
20190119;"2019-01-19";2019;"Q4";1;"January";19;2;1;7;"Saturday";"Jan-2019";"2019-01"
20190120;"2019-01-20";2019;"Q4";1;"January";20;3;1;1;"Sunday";"Jan-2019";"2019-01"
20190121;"2019-01-21";2019;"Q4";1;"January";21;3;0;2;"Monday";"Jan-2019";"2019-01"
20190122;"2019-01-22";2019;"Q4";1;"January";22;3;0;3;"Tuesday";"Jan-2019";"2019-01"
20190123;"2019-01-23";2019;"Q4";1;"January";23;3;0;4;"Wednesday";"Jan-2019";"2019-01"
20190124;"2019-01-24";2019;"Q4";1;"January";24;3;0;5;"Thursday";"Jan-2019";"2019-01"
20190125;"2019-01-25";2019;"Q4";1;"January";25;3;0;6;"Friday";"Jan-2019";"2019-01"
20190126;"2019-01-26";2019;"Q4";1;"January";26;3;1;7;"Saturday";"Jan-2019";"2019-01"
20190127;"2019-01-27";2019;"Q4";1;"January";27;4;1;1;"Sunday";"Jan-2019";"2019-01"
20190128;"2019-01-28";2019;"Q4";1;"January";28;4;0;2;"Monday";"Jan-2019";"2019-01"
20190129;"2019-01-29";2019;"Q4";1;"January";29;4;0;3;"Tuesday";"Jan-2019";"2019-01"
20190130;"2019-01-30";2019;"Q4";1;"January";30;4;0;4;"Wednesday";"Jan-2019";"2019-01"
20190131;"2019-01-31";2019;"Q4";1;"January";31;4;0;5;"Thursday";"Jan-2019";"2019-01"
20190201;"2019-02-01";2019;"Q4";2;"February";1;4;0;6;"Friday";"Feb-2019";"2019-02"
