"product_id";"sku";"category";"sub_category";"product_name";"brand"
1;"FUR-BO-10000112";"Furniture";"Bookcases";"Bush Birmingham Collection Bookcase, Dark Cherry";"Bush"
2;"FUR-BO-10000330";"Furniture";"Bookcases";"Sauder Camden County Barrister Bookcase, Planked Cherry Finish";"Sauder"
3;"FUR-BO-10000362";"Furniture";"Bookcases";"Sauder Inglewood Library Bookcases";"Sauder"
4;"FUR-BO-10000468";"Furniture";"Bookcases";"O'Sullivan 2-Shelf Heavy-Duty Bookcases";"O'Sullivan"
5;"FUR-BO-10000780";"Furniture";"Bookcases";"O'Sullivan Plantations 2-Door Library in Landvery Oak";"O'Sullivan"
6;"FUR-BO-10001337";"Furniture";"Bookcases";"O'Sullivan Living Dimensions 2-Shelf Bookcases";"O'Sullivan"
7;"FUR-BO-10001519";"Furniture";"Bookcases";"O'Sullivan 3-Shelf Heavy-Duty Bookcases";"O'Sullivan"
8;"FUR-BO-10001567";"Furniture";"Bookcases";"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled";"Bush"
9;"FUR-BO-10001601";"Furniture";"Bookcases";"Sauder Mission Library with Doors, Fruitwood Finish";"Sauder"
10;"FUR-BO-10001608";"Furniture";"Bookcases";"Hon Metal Bookcases, Black";"Hon"
11;"FUR-BO-10001619";"Furniture";"Bookcases";"O'Sullivan Cherrywood Estates Traditional Bookcase";"O'Sullivan"
12;"FUR-BO-10001798";"Furniture";"Bookcases";"Bush Somerset Collection Bookcase";"Bush"
13;"FUR-BO-10001811";"Furniture";"Bookcases";"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors";"Atlantic"
14;"FUR-BO-10001918";"Furniture";"Bookcases";"Sauder Forest Hills Library with Doors, Woodland Oak Finish";"Sauder"
15;"FUR-BO-10001972";"Furniture";"Bookcases";"O'Sullivan 4-Shelf Bookcase in Odessa Pine";"O'Sullivan"
16;"FUR-BO-10002202";"Furniture";"Bookcases";"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors";"Atlantic"
17;"FUR-BO-10002206";"Furniture";"Bookcases";"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order";"Bush"
18;"FUR-BO-10002213";"Furniture";"Bookcases";"Sauder Forest Hills Library, Woodland Oak Finish";"Sauder"
19;"FUR-BO-10002213";"Furniture";"Bookcases";"DMI Eclipse Executive Suite Bookcases";"DMI"
20;"FUR-BO-10002268";"Furniture";"Bookcases";"Sauder Barrister Bookcases";"Sauder"
21;"FUR-BO-10002545";"Furniture";"Bookcases";"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors";"Atlantic"
22;"FUR-BO-10002598";"Furniture";"Bookcases";"Hon Metal Bookcases, Putty";"Hon"
23;"FUR-BO-10002613";"Furniture";"Bookcases";"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors";"Atlantic"
24;"FUR-BO-10002824";"Furniture";"Bookcases";"Bush Mission Pointe Library";"Bush"
25;"FUR-BO-10002853";"Furniture";"Bookcases";"O'Sullivan 5-Shelf Heavy-Duty Bookcases";"O'Sullivan"
26;"FUR-BO-10003034";"Furniture";"Bookcases";"O'Sullivan Elevations Bookcase, Cherry Finish";"O'Sullivan"
27;"FUR-BO-10003159";"Furniture";"Bookcases";"Sauder Camden County Collection Libraries, Planked Cherry Finish";"Sauder"
28;"FUR-BO-10003272";"Furniture";"Bookcases";"O'Sullivan Living Dimensions 5-Shelf Bookcases";"O'Sullivan"
29;"FUR-BO-10003404";"Furniture";"Bookcases";"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish";"Global"
30;"FUR-BO-10003433";"Furniture";"Bookcases";"Sauder Cornerstone Collection Library";"Sauder"
31;"FUR-BO-10003441";"Furniture";"Bookcases";"Bush Westfield Collection Bookcases, Fully Assembled";"Bush"
32;"FUR-BO-10003450";"Furniture";"Bookcases";"Bush Westfield Collection Bookcases, Dark Cherry Finish";"Bush"
33;"FUR-BO-10003546";"Furniture";"Bookcases";"Hon 4-Shelf Metal Bookcases";"Hon"
34;"FUR-BO-10003660";"Furniture";"Bookcases";"Bush Cubix Collection Bookcases, Fully Assembled";"Bush"
35;"FUR-BO-10003893";"Furniture";"Bookcases";"Sauder Camden County Collection Library";"Sauder"
36;"FUR-BO-10003894";"Furniture";"Bookcases";"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black";"Safco"
37;"FUR-BO-10003965";"Furniture";"Bookcases";"O'Sullivan Manor Hill 2-Door Library in Brianna Oak";"O'Sullivan"
38;"FUR-BO-10003966";"Furniture";"Bookcases";"Sauder Facets Collection Library, Sky Alder Finish";"Sauder"
39;"FUR-BO-10004015";"Furniture";"Bookcases";"Bush Andora Bookcase, Maple/Graphite Gray Finish";"Bush"
40;"FUR-BO-10004218";"Furniture";"Bookcases";"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order";"Bush"
41;"FUR-BO-10004357";"Furniture";"Bookcases";"O'Sullivan Living Dimensions 3-Shelf Bookcases";"O'Sullivan"
42;"FUR-BO-10004360";"Furniture";"Bookcases";"Rush Hierlooms Collection Rich Wood Bookcases";"Rush"
43;"FUR-BO-10004409";"Furniture";"Bookcases";"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray";"Safco"
44;"FUR-BO-10004467";"Furniture";"Bookcases";"Bestar Classic Bookcase";"Bestar"
45;"FUR-BO-10004695";"Furniture";"Bookcases";"O'Sullivan 2-Door Barrister Bookcase in Odessa Pine";"O'Sullivan"
46;"FUR-BO-10004709";"Furniture";"Bookcases";"Bush Westfield Collection Bookcases, Medium Cherry Finish";"Bush"
47;"FUR-BO-10004834";"Furniture";"Bookcases";"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish";"Riverside"
48;"FUR-CH-10000015";"Furniture";"Chairs";"Hon Multipurpose Stacking Arm Chairs";"Hon"
49;"FUR-CH-10000155";"Furniture";"Chairs";"Global Comet Stacking Armless Chair";"Global"
50;"FUR-CH-10000225";"Furniture";"Chairs";"Global Geo Office Task Chair, Gray";"Global"
51;"FUR-CH-10000229";"Furniture";"Chairs";"Global Enterprise Series Seating High-Back Swivel/Tilt Chairs";"Global"
52;"FUR-CH-10000309";"Furniture";"Chairs";"Global Comet Stacking Arm Chair";"Global"
53;"FUR-CH-10000422";"Furniture";"Chairs";"Global Highback Leather Tilter in Burgundy";"Global"
54;"FUR-CH-10000454";"Furniture";"Chairs";"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back";"Hon"
55;"FUR-CH-10000513";"Furniture";"Chairs";"High-Back Leather Manager's Chair";"High-Back"
56;"FUR-CH-10000553";"Furniture";"Chairs";"Metal Folding Chairs, Beige, 4/Carton";"Metal"
57;"FUR-CH-10000595";"Furniture";"Chairs";"Safco Contoured Stacking Chairs";"Safco"
58;"FUR-CH-10000665";"Furniture";"Chairs";"Global Airflow Leather Mesh Back Chair, Black";"Global"
59;"FUR-CH-10000749";"Furniture";"Chairs";"Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms";"Office"
60;"FUR-CH-10000785";"Furniture";"Chairs";"Global Ergonomic Managers Chair";"Global"
61;"FUR-CH-10000847";"Furniture";"Chairs";"Global Executive Mid-Back Manager's Chair";"Global"
62;"FUR-CH-10000863";"Furniture";"Chairs";"Novimex Swivel Fabric Task Chair";"Novimex"
63;"FUR-CH-10000988";"Furniture";"Chairs";"Hon Olson Stacker Stools";"Hon"
64;"FUR-CH-10001146";"Furniture";"Chairs";"Global Value Mid-Back Manager's Chair, Gray";"Global"
65;"FUR-CH-10001146";"Furniture";"Chairs";"Global Task Chair, Black";"Global"
66;"FUR-CH-10001190";"Furniture";"Chairs";"Global Deluxe High-Back Office Chair in Storm";"Global"
67;"FUR-CH-10001215";"Furniture";"Chairs";"Global Troy Executive Leather Low-Back Tilter";"Global"
68;"FUR-CH-10001270";"Furniture";"Chairs";"Harbour Creations Steel Folding Chair";"Harbour"
69;"FUR-CH-10001394";"Furniture";"Chairs";"Global Leather Executive Chair";"Global"
70;"FUR-CH-10001482";"Furniture";"Chairs";"Office Star - Mesh Screen back chair with Vinyl seat";"Office"
71;"FUR-CH-10001545";"Furniture";"Chairs";"Hon Comfortask Task/Swivel Chairs";"Hon"
72;"FUR-CH-10001708";"Furniture";"Chairs";"Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back";"Office"
73;"FUR-CH-10001714";"Furniture";"Chairs";"Global Leather & Oak Executive Chair, Burgundy";"Global"
74;"FUR-CH-10001797";"Furniture";"Chairs";"Safco Chair Connectors, 6/Carton";"Safco"
75;"FUR-CH-10001802";"Furniture";"Chairs";"Hon Every-Day Chair Series Swivel Task Chairs";"Hon"
76;"FUR-CH-10001854";"Furniture";"Chairs";"Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat";"Office"
77;"FUR-CH-10001891";"Furniture";"Chairs";"Global Deluxe Office Fabric Chairs";"Global"
78;"FUR-CH-10001973";"Furniture";"Chairs";"Office Star Flex Back Scooter Chair with White Frame";"Office"
79;"FUR-CH-10002019";"Furniture";"Chairs";"SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair";"SAFCO"
80;"FUR-CH-10002024";"Furniture";"Chairs";"HON 5400 Series Task Chairs for Big and Tall";"HON"
81;"FUR-CH-10002044";"Furniture";"Chairs";"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum";"Office"
