"order_id";"unique_order_no";"order_date";"ship_date";"ship_mode";"sales";"quantity";"profit";"Pack";"return_id";"product_id";"customer_id";"order_key";"ship_key";"location_id"
1;"CA-2019-100041";"2019-11-20";"2019-11-25";"Standard Class";4.91;1;2.3077;"Low";1;630;78;"2019-11-20";"2019-11-25";89
2;"CA-2019-100041";"2019-11-20";"2019-11-25";"Standard Class";314.55;3;150.984;"Low";1;1016;78;"2019-11-20";"2019-11-25";89
3;"CA-2019-100041";"2019-11-20";"2019-11-25";"Standard Class";9.08;2;4.086;"Low";1;1081;78;"2019-11-20";"2019-11-25";89
4;"CA-2019-100083";"2019-11-24";"2019-11-29";"Standard Class";24.784;1;7.745;"Low";2;1001;138;"2019-11-24";"2019-11-29";289
5;"CA-2019-100153";"2019-12-13";"2019-12-17";"Standard Class";63.88;4;24.9132;"Low";3;1463;421;"2019-12-13";"2019-12-17";333
6;"CA-2019-100202";"2019-12-31";"2020-01-05";"Standard Class";302.376;3;22.6782;"Low";4;1705;71;"2019-12-31";"2020-01-05";8
7;"CA-2019-100244";"2019-09-20";"2019-09-24";"Standard Class";48.64;2;15.808;"Low";6;649;303;"2019-09-20";"2019-09-24";433
8;"CA-2019-100244";"2019-09-20";"2019-09-24";"Standard Class";11.76;4;3.1752;"Low";6;485;303;"2019-09-20";"2019-09-24";433
9;"CA-2019-100244";"2019-09-20";"2019-09-24";"Standard Class";48.64;2;15.808;"Low";5;649;303;"2019-09-20";"2019-09-24";433
10;"CA-2019-100244";"2019-09-20";"2019-09-24";"Standard Class";271.984;2;88.3948;"Low";6;758;303;"2019-09-20";"2019-09-24";433
11;"CA-2019-100244";"2019-09-20";"2019-09-24";"Standard Class";11.76;4;3.1752;"Low";5;485;303;"2019-09-20";"2019-09-24";433
12;"CA-2019-100244";"2019-09-20";"2019-09-24";"Standard Class";271.984;2;88.3948;"Low";5;758;303;"2019-09-20";"2019-09-24";433
13;"CA-2019-100244";"2019-09-20";"2019-09-24";"Standard Class";65.79;9;30.2634;"Medium";5;1072;303;"2019-09-20";"2019-09-24";433
14;"CA-2019-100244";"2019-09-20";"2019-09-24";"Standard Class";65.79;9;30.2634;"Medium";6;1072;303;"2019-09-20";"2019-09-24";433
15;"CA-2019-100244";"2019-09-20";"2019-09-24";"Standard Class";77.52;2;37.9848;"Low";6;1130;303;"2019-09-20";"2019-09-24";433
16;"CA-2019-100244";"2019-09-20";"2019-09-24";"Standard Class";77.52;2;37.9848;"Low";5;1130;303;"2019-09-20";"2019-09-24";433
17;"CA-2019-100300";"2019-06-24";"2019-06-26";"Second Class";241.44;3;72.432;"Low";7;392;504;"2019-06-24";"2019-06-26";432
18;"CA-2019-100300";"2019-06-24";"2019-06-26";"Second Class";104.85;1;50.328;"Low";7;1016;504;"2019-06-24";"2019-06-26";432
19;"CA-2019-100300";"2019-06-24";"2019-06-26";"Second Class";4476.8;4;503.64;"Low";7;1573;504;"2019-06-24";"2019-06-26";432
